,Gene_symbol,Log_FoldChange,PValue
176,TUBB3,-1.1179999999999999,6.65562760245723e-05
177,TUBB2A,-1.169,6.73351963897855e-05
181,PCSK1,-1.923,7.16253065201288e-05
182,GPRASP2,-1.369,7.175741127274509e-05
183,YWHAG,-1.3730000000000002,7.1042497155401e-05
185,FBXO34,-1.162,7.36052769518127e-05
188,NGEF,-1.183,7.47999696595909e-05
189,L1CAM,-1.139,7.50700326808793e-05
192,NEUROG2,-3.572,8.253133872262329e-05
194,ATP6V0D1,-1.041,8.30717340669263e-05
195,DIRAS2,-1.2409999999999999,8.344841533620749e-05
196,MFSD4A,-1.041,8.45452281499116e-05
199,CA4,-1.2429999999999999,8.743709990041099e-05
200,DTD1,-1.024,8.83435434335567e-05
201,GRM2,-1.203,8.82099972827254e-05
202,PPP3CB,-1.232,9.068366433293058e-05
203,MLIP,-1.226,9.47948793379001e-05
204,B4GAT1,-1.024,9.48340817701308e-05
207,ARHGEF3,-1.109,9.75212122694638e-05
208,MYH11,-2.701,9.658789775437671e-05
212,MFSD6,-1.155,0.000102061801781376
213,DUSP1,-1.7480000000000002,0.000102431419731788
216,WSCD2,-1.209,0.000104640834575255
220,SNCA,-1.297,0.000107316481906136
222,DLGAP1-AS4,-1.43,0.000111276410599033
223,DRD1,-1.368,0.000112248044823524
227,TMEM155,-1.7069999999999999,0.000114639879054388
228,AP1S1,-1.077,0.000114870162271354
229,CAP2,-1.0590000000000002,0.00011485146686783502
230,TPI1,-1.046,0.000114665045975621
233,ST6GALNAC5,-1.069,0.000120165973319252
235,SYT13,-1.324,0.000122342214430748
236,FXYD6,-1.084,0.000122417114358106
238,STARD4-AS1,-2.22,0.000124824137602838
240,CLSTN2,-1.641,0.000126119397848244
241,OPCML,-1.2570000000000001,0.000125858761914963
242,ADCYAP1,-1.317,0.00012739338947551998
244,ENO2,-1.037,0.000127822668066137
246,CAMKK1,-1.0590000000000002,0.000129884493188025
247,CPZ,-2.721,0.000130650779655712
248,NLK,-1.0490000000000002,0.000132759424870938
250,RGS6,-1.143,0.00013660236969601798
252,MAGEE1,-1.224,0.00013934793515503602
254,RASGRF1,-1.167,0.000142281361574702
255,GYPA,-5.0680000000000005,0.00014399623448124198
257,KCNH1,-1.287,0.000146821398528056
258,RTN4R,-1.035,0.000146596403376541
260,CAMK1G,-1.01,0.000150697510442061
261,EDN3,-1.8090000000000002,0.000153288844637376
263,PRPS2,-1.446,0.000162099741176072
264,PCDHGC5,-1.7790000000000001,0.000162761331897967
266,NDRG3,-1.051,0.000166667918957287
268,PNMAL1,-1.072,0.00017274815517569
269,GABARAPL1,-1.2309999999999999,0.000171587368011253
270,TBC1D9,-1.3019999999999998,0.000174056608144614
271,CORT,-1.615,0.000176496432444095
276,DLG3,-1.198,0.00017916225909785902
279,DCLK3,-2.497,0.000184350844946778
280,HTR5A,-1.3619999999999999,0.000184655072649084
281,DUSP2,-1.5419999999999998,0.000185337368114071
284,ME3,-1.012,0.000189215035500764
285,STOML1,-1.003,0.000192283126337194
293,SULT4A1,-1.09,0.000204442536015396
295,SLC39A10,-1.0390000000000001,0.000210983993883922
306,WBSCR17,-1.079,0.000233280463530488
307,CECR6,-1.337,0.000238449182971421
308,ACTA2,-2.298,0.00023858629935487902
310,KCNF1,-1.083,0.00024505325578657
311,PGK1,-1.121,0.00024473922104689704
312,CAMKV,-1.083,0.000246780161595357
324,CKMT1A,-1.043,0.000267166054927406
330,SLC6A17,-1.204,0.000273799492432639
335,FNDC9,-1.369,0.00028506556193116
336,FAM98A,-1.123,0.00028722833794611
339,SYN2,-1.444,0.00030025455864379904
342,AKAP5,-1.109,0.00030662560916384
344,SLC17A7,-1.055,0.000313822372841983
346,ABCC12,-1.702,0.000323706044057636
355,GABRA1,-1.1159999999999999,0.000332960026102888
356,MDH2,-1.001,0.000332569849651162
357,ATP6V1A,-1.031,0.000328608646731248
358,CLCN4,-1.005,0.000337101420907581
360,SLC45A1,-1.0490000000000002,0.000341286099925998
363,TMEM132D,-1.157,0.000354320978091038
364,SSTR1,-1.246,0.000357047331452652
367,NDC1,-1.1909999999999998,0.000366280081224023
372,SYNGR1,-1.074,0.000363273624489616
376,PGM2L1,-1.043,0.000373112651998598
378,NSF,-2.0909999999999997,0.00037727569610204303
380,GABRD,-1.071,0.000380223926059146
384,DUSP5,-1.608,0.000387341360924514
386,DES,-3.7680000000000002,0.00038694951907766403
387,GLCE,-1.213,0.000391154624256584
388,HMOX2,-1.0270000000000001,0.000391576243622606
394,MAN1A1,-1.391,0.000393869434920087
395,FRMPD4,-1.088,0.000393360727010752
398,CNN1,-2.154,0.000404610587674164
399,WASF1,-1.087,0.000406717765440438
405,TMEM35A,-1.314,0.000428911991973871
406,SYNJ1,-1.19,0.000430729186537896
