,Gene_symbol,Log_FoldChange,PValue
425,GTF2H4,2.378,0.00040052010764376697
426,LCN9,2.43,0.000405064136696536
427,PAQR6,1.168,0.000405406173881352
429,SPON1,2.44,0.000414088738484113
430,MAOB,2.625,0.000417313635788655
432,SOX6,2.208,0.000424589221194979
433,MIR556,2.678,0.000427753157342011
434,FAM198B,1.3840000000000001,0.00043410596717171
435,ADGRB2,1.099,0.000433166853490331
446,TMEM133,1.262,0.00046602465592229006
451,STK17A,1.008,0.000476547861747106
452,ZNF676,3.4189999999999996,0.0004905352746489071
459,LRRC37A2,1.291,0.000491906964147501
461,CCNI2,1.171,0.0004955427445327731
463,NAIP,1.2590000000000001,0.000504405255343629
464,PCDH10,1.7890000000000001,0.000504412207054112
468,NCAN,1.5390000000000001,0.000515685318828112
470,FBLN2,1.983,0.000520144446313542
474,CDHR5,1.757,0.000552923979718207
476,HCG22,3.21,0.000568482362036263
478,MICB,1.617,0.000568210122281134
480,UCN,1.097,0.000576382117897633
484,TCF19,2.362,0.000587544818241621
485,TLE2,2.185,0.000589301078752566
486,SCUBE2,1.453,0.000593588866450971
489,RBM46,2.589,0.00061323997743896
494,RAMP2,1.033,0.000619837892228172
499,RDH10,1.611,0.000639113485274949
504,LOC101927272,1.857,0.000662200984223044
505,STARD13,1.0170000000000001,0.0006623616908530201
507,PDE8B,1.2990000000000002,0.000669111957094155
509,ARHGEF28,2.134,0.0006796629880122519
513,FLRT1,1.117,0.000699101158352027
514,ARHGAP31,1.162,0.0006996678302291531
515,HIF1A-AS1,1.642,0.000709264590719537
521,ARHGAP42,1.12,0.00076081314135902
522,PDLIM3,1.046,0.0007700889515096969
530,LENG1,2.202,0.0008141364142363929
532,ST8SIA3,1.8980000000000001,0.000827343527352791
533,NPAS1,1.176,0.0008303947553966191
534,HS3ST1,1.4709999999999999,0.000850948856119818
535,USP17L7,2.8760000000000003,0.000852855369862139
536,FAM180B,1.1340000000000001,0.000861687301438971
538,ZCCHC24,1.538,0.00086900665113475
540,DDX25,1.175,0.0008838820613206099
541,PTPN3,1.5830000000000002,0.000898047917320732
542,NPPA,1.7919999999999998,0.0009035566351861461
543,SLC16A7,1.05,0.000904664745966566
544,KIAA1211L,2.491,0.000901942545840331
545,FAM212B-AS1,1.777,0.0009088541691033
547,ROBO2,1.3980000000000001,0.0009147566889468539
550,FOXO6,2.568,0.0009376067357383669
552,PHYHIPL,1.7,0.0009362561983741929
553,NCAM2,1.651,0.000943303844258127
558,GABRA2,1.2329999999999999,0.0009637408471306881
559,RAPGEF3,1.175,0.00096233211921181
561,GPANK1,4.54,0.00100575051590775
563,ITGA8,2.5789999999999997,0.0010138512093155
565,C19orf81,1.6269999999999998,0.00104617840705325
571,TRIM58,1.641,0.00108110181923013
572,STUM,2.4,0.0010932013388898
574,FAM182B,1.403,0.00110924632300648
575,FAM182A,1.6480000000000001,0.00111374658099158
576,TMEM100,1.7069999999999999,0.00110728413117654
580,ITGB5,1.199,0.00112239125287829
582,SOX9-AS1,1.06,0.00113650828930886
589,SKAP1,2.542,0.00118300390495958
591,HTR2C,4.002,0.00119171778433798
592,MEOX2,1.62,0.0011960161525227
595,SOX18,1.973,0.00121801240632054
597,ARC,1.525,0.0012232340828227
598,PPP1R11,2.371,0.0012282968099273
601,BDNF,1.383,0.00124980333910604
605,TRPC3,1.178,0.00127455570409899
611,CYP2A6,1.1520000000000001,0.00131133817230308
612,ATP2B2,2.151,0.0013122936535002099
616,CPNE4,1.465,0.00131251907187859
619,TRABD2B,2.327,0.00131751904809615
622,SUSD4,2.311,0.00132688174092204
627,ABCC6P2,3.467,0.00135291588492434
631,PLEKHH2,1.053,0.0013792876072267301
635,VAX2,1.73,0.0014150458634070002
637,ZNF560,2.642,0.00142991296530791
639,RDH10-AS1,1.624,0.0014349607906559301
642,RGS7BP,2.287,0.00145454834570994
645,PTP4A3,1.112,0.0014851623071992
655,THSD1,2.189,0.00154541759018551
658,KCND3,1.022,0.0015619177508428
662,PODN,1.6969999999999998,0.00160215436824575
664,LINC00173,1.469,0.00160855348310746
666,LKAAEAR1,2.242,0.00162810671754843
667,C15orf59,1.104,0.0016265135026729998
668,PITPNM3,1.46,0.0016253839163900099
669,TNFSF9,1.5019999999999998,0.0016338469302302901
671,TMEM221,1.099,0.00165203671807492
672,RGS6,2.073,0.00165050192224961
675,ARID3C,1.7369999999999999,0.00168198894671155
677,DUSP15,1.5619999999999998,0.00169089916884667
679,THY1,1.1079999999999999,0.0016959769166987198
680,LOC102724392,2.455,0.00170635778520723
682,FGF1,1.999,0.00173402103950141
683,TMEM54,1.496,0.00172931034704393
684,ADRA2B,2.662,0.00173880669852947
689,ABLIM2,1.331,0.0017740824002887802
691,TBX2-AS1,1.6159999999999999,0.00178226509864533
692,CRB1,1.087,0.00179154519722592
694,ZFP3,1.415,0.0018089670831411898
700,MIR663AHG,1.508,0.0018513180563703101
705,ENDOD1,1.042,0.00190219049853435
715,SLC26A1,1.183,0.00199680791761969
719,DNAH11,1.31,0.00204107489258913
723,MPPED1,1.964,0.0020567340068552396
726,SLC9A2,1.781,0.00207255415571718
740,NTNG1,1.172,0.00217190378083365
741,CSRP1,1.495,0.00217731643505826
743,SALL3,2.4290000000000003,0.00222077012433045
746,JMJD1C-AS1,1.041,0.00224445753274086
749,MYO5C,1.249,0.0022325352013630104
750,SPARCL1,1.943,0.00224037419993286
753,SLIT1,1.663,0.00225736395417531
761,TXLNB,1.4269999999999998,0.00230816854757908
762,HAPLN2,1.87,0.00231693491316598
764,GRIA3,1.62,0.00234175029540405
768,NPTX2,1.04,0.00235847825099551
770,ITGA7,1.3659999999999999,0.00236606789537832
771,KRTAP5-7,2.013,0.00239287996928768
775,ZNRD1ASP,2.9530000000000003,0.00241478374636427
777,PCDHAC1,1.17,0.00240008374114619
780,SHISA4,1.287,0.00241141473304713
783,C2orf72,1.286,0.0024183800888132197
784,CFAP77,1.765,0.0024376205552758302
785,GPR37L1,1.296,0.00246047176343998
786,TYRP1,2.276,0.00248054368447125
788,DAXX,1.739,0.00248964777024695
790,HR,2.119,0.00249485221784038
796,MIR421,1.213,0.00252672707932411
800,PRSS54,2.191,0.00256800669270379
805,HAPLN1,2.685,0.00264098469226525
812,DNAH5,1.338,0.00270338877209396
815,GRM4,1.8430000000000002,0.00271611768160537
817,PTPRU,1.4180000000000001,0.0027364610274845
823,CORO7-PAM16,2.748,0.0027852710095250003
825,ZNF135,1.093,0.0028030900614142104
826,CLVS2,1.208,0.00280546635768894
829,CNTN4,2.4130000000000003,0.00283041763621356
831,LINGO4,3.261,0.00287541810506186
832,USP2,1.1059999999999999,0.00287960187710198
834,LIX1,1.262,0.00289714256402827
835,SPRY3,1.012,0.00290247384015857
838,MPPED2,1.4480000000000002,0.0029427177995061398
840,PCDHB17P,1.496,0.0029670150441307
843,GNAO1,1.001,0.00299623003386492
846,RAB44,1.301,0.00302902074845422
847,FASLG,1.886,0.0030540311356035
848,MIR1915,2.311,0.0030462241593102
849,FAM135B,1.23,0.0030549183077753102
850,CFAP126,2.4619999999999997,0.00304305298367946
851,ADCY8,2.133,0.00304236352002359
857,PDGFRB,1.147,0.00311959114907778
858,KL,1.4709999999999999,0.00313664676325865
860,NYNRIN,1.088,0.00313893907518969
862,COL26A1,1.275,0.0031513389305863303
866,PPP1R1B,1.7009999999999998,0.0032247681069035397
869,STAC2,1.131,0.0032625045622399103
871,CYP26B1,1.881,0.00327544513990273
873,LOC105373580,1.1640000000000001,0.00328140445440436
874,BEAN1,1.047,0.00329357200491265
877,CACNB2,1.127,0.00331706785096011
881,BMX,2.44,0.0033535714281741
883,SPX,1.158,0.0033566318768014
887,FGFR2,1.212,0.00336795018706308
898,ZNF467,1.806,0.00344334872575076
905,TARID,1.1840000000000002,0.0035325653813275603
909,TRIL,1.094,0.00357609338049541
917,GZMM,1.3159999999999998,0.00374557374050156
923,CACNA1G,1.254,0.00375643713258939
924,BEGAIN,1.111,0.00375571062447445
926,PLEKHB1,1.093,0.0037771987073522205
927,LRIT2,1.945,0.0037909480448818796
929,CASC16,2.115,0.00379526448031419
931,GSTT2B,2.145,0.00381039938241321
936,CFAP70,1.3019999999999998,0.00385761128893826
942,LIMS2,1.207,0.0038857780718099
948,LOC102724231,1.67,0.0040269188035455105
951,MICA,1.744,0.00407445677798407
968,ALDH3B1,1.012,0.00424923015769052
969,RNF112,1.4280000000000002,0.00425618364395035
970,PCA3,1.3319999999999999,0.0042623862445867
972,CHST9,1.034,0.0042992007571182106
975,LOC105372352,1.075,0.0043265394352551894
979,FRMD3,1.5619999999999998,0.00436537180153816
981,LINC00158,1.5090000000000001,0.004411100691363271
983,ADAMTS1,1.054,0.00442281904907931
987,SNED1,1.057,0.00451024640847344
990,NPFFR2,2.2030000000000003,0.00454093465523219
991,KLF1,1.6380000000000001,0.0045576670767742
992,TRIM49B,2.697,0.00455647933385228
998,CACNG1,1.217,0.00459357829745833
1001,WSCD2,1.9380000000000002,0.00463330694244315
1003,NR4A3,1.2690000000000001,0.0046622102186718705
1004,EGLN3,1.188,0.00468318832994112
1008,DHH,1.213,0.00472021313461419
1009,NKD1,1.0290000000000001,0.00473038024906675
1011,CER1,1.726,0.00476989426874203
1015,CDHR1,1.265,0.0048027727669741
1021,CYP21A1P,2.4219999999999997,0.0048702567555205
1024,LINC01336,1.538,0.00493033414475774
1027,CXCL10,2.481,0.00496943252585055
1031,WDR63,1.107,0.00500237953196004
1035,DGKK,1.617,0.00507625569238917
1036,SEMA6D,1.5019999999999998,0.00509416230391309
1043,CYP3A4,1.3619999999999999,0.005240716539013371
1044,NPTXR,1.1640000000000001,0.00523796924865549
1046,LILRB3,2.465,0.0053004244303690206
1050,MYOM2,1.798,0.00532629480227559
1051,SLC1A3,1.3619999999999999,0.00533962171034839
1056,AGT,1.567,0.0054467871340729895
1058,UNC5B-AS1,1.794,0.00548363713635959
1059,MIR663B,1.7730000000000001,0.00549523319221273
1061,RIMBP2,1.429,0.00550432250131124
1064,SORCS2,1.844,0.00552118738057285
1065,SMARCA2,1.192,0.00552797562854489
1068,LOC101929479,1.358,0.0055781300875012
1069,LOC100506885,1.06,0.00558298774029489
1077,CACNG5,1.594,0.005649374596125921
1079,TMEM27,1.03,0.00567481060314907
1080,KCNQ3,1.722,0.00569129377071127
1083,TAS2R31,1.206,0.0057317634845893
1087,PCDHGB4,1.306,0.005782394587101071
1088,LAMA4,1.0490000000000002,0.00579038875635563
1092,MAOA,1.26,0.0058577218859483
1093,DLC1,1.391,0.0058704629928152795
1104,LOC105377590,1.473,0.00596687217564182
1113,MIRLET7BHG,1.3430000000000002,0.00614910483767805
1118,RXRG,2.6439999999999997,0.006272980522919171
1120,TTLL9,1.135,0.0063080440191341
1121,TUBB8,2.276,0.0063397959316066
1130,HLA-DOA,2.1109999999999998,0.0064892914601293395
1132,LINC01152,1.36,0.00650835935286928
1133,GPD1,1.514,0.00652272237883189
1137,RPH3A,1.4580000000000002,0.00658130913966824
1150,RAET1E-AS1,1.786,0.00672881372382
1151,ELN,1.202,0.00678705060758398
1160,PTPRCAP,1.604,0.00693379288272812
1166,ADCY5,1.151,0.007081926573315979
1167,OXCT1-AS1,1.09,0.00713067929492277
