,Gene_symbol,Log_FoldChange,PValue
283,UBN1,-1.544,0.000132463431709185
284,C5AR1,-1.594,0.00013287546636038
285,NEU1,-2.113,0.000134408983961466
286,IL1RAP,-1.893,0.00013411344134033501
287,RARA-AS1,-1.642,0.000135408874328648
288,NINJ1,-1.651,0.000136267878274223
289,TREML3P,-2.5669999999999997,0.000137066654747387
291,TLR6,-1.7409999999999999,0.000139390801373608
292,ASAP1,-1.329,0.000138117021749719
293,RAB11FIP1,-1.393,0.000139232999958198
294,SRGAP2B,-1.237,0.000140271361688647
295,PANX2,-2.425,0.000141941418456357
296,OSBPL8,-1.258,0.00014143544901447299
297,FAM129A,-2.301,0.00014171473166036598
298,PTAFR,-1.49,0.00014381480474979
299,TLR8,-1.266,0.000144552541933716
300,ENTPD1,-1.246,0.000145799873221906
301,SLC12A6,-1.197,0.00014567433132566
302,QKI,-1.0959999999999999,0.00014640195516191101
303,LRG1,-2.738,0.000150575720997258
306,FAR2,-1.256,0.000154469798863331
307,GPAT3,-1.21,0.00015334528475755902
308,THBD,-1.781,0.000153107818580437
309,MPZL1,-1.933,0.00015579093721107198
310,FAM63A,-1.515,0.000155413107846208
311,NCOA4,-1.1520000000000001,0.000155214491100955
312,TMPPE,-1.224,0.000156702584707226
314,TLR1,-1.574,0.00015796412942346998
315,AP3B2,-3.6060000000000003,0.000159724005901727
316,ADGRE3,-2.201,0.000162265195950597
317,CLEC7A,-1.3119999999999998,0.000162166320532818
318,TGM3,-3.197,0.000166638267141465
319,CKAP4,-1.17,0.0001669672979334
321,HSDL2,-1.6,0.00016865835073883
323,CCPG1,-1.3230000000000002,0.00017050274479159198
324,DUSP1,-1.807,0.00017194381377861798
325,OVCH1,-2.9219999999999997,0.000172882125487037
326,TSPAN16,-2.227,0.000173571733656697
327,MPP1,-1.145,0.00017393513140193798
328,PBX2,-1.739,0.000174783273539899
329,IL6R,-1.225,0.00017527529444625302
330,PAK1,-1.232,0.00017799903798063502
331,RIT1,-1.24,0.000179642309053468
332,MCL1,-1.42,0.000180397666248783
333,CNTNAP3,-2.2969999999999997,0.000181178245164443
334,ZDHHC18,-2.0580000000000003,0.00018288663952276002
335,HK2,-1.127,0.00018543648568876498
336,NFAM1,-1.34,0.00018626385426136598
337,ROPN1L,-2.397,0.000187262648704473
338,TALDO1,-1.4280000000000002,0.00019178792419033799
339,KCNJ2,-2.9730000000000003,0.000193452876451309
340,AGO4,-1.2890000000000001,0.00019409653914106599
341,FAM214B,-1.252,0.000195005618632121
342,RFX2,-1.771,0.000197195694868438
343,CACUL1,-1.145,0.000201149332211132
345,CEBPB,-1.663,0.00020336012440743702
347,BEST1,-1.719,0.000206823326404069
348,RCOR1,-1.012,0.000206283138283654
349,BNIP3L,-1.084,0.00020679570308750902
350,NCF4,-1.87,0.000206326421940374
351,RXRA,-1.099,0.000207091283959806
352,MIR6069,-2.988,0.00020773213912143401
353,ABTB1,-1.732,0.000209026098561685
355,RGS2,-1.632,0.000211276414945386
356,SIPA1L2,-1.5190000000000001,0.000212308059102274
357,PLB1,-1.5490000000000002,0.000215736699397547
358,GBP6,-2.323,0.000219650439945649
359,IMPA2,-1.505,0.000219213766361694
360,ABCA1,-1.758,0.00022333827174923798
361,TMEM33,-1.078,0.000223068915674584
362,NOS1AP,-2.29,0.000224990840854175
363,SIRPA,-1.36,0.000224712082115579
364,PICALM,-1.3459999999999999,0.000228677199972675
365,LINC00282,-1.837,0.00023194517633899503
366,ZBTB34,-1.232,0.00023347507171620402
368,ARID3A,-1.088,0.00023305740975219398
369,DRC1,-2.824,0.00023543473282893902
371,RASSF2,-1.3,0.00023552172755844102
373,KIF1B,-1.001,0.00023797856487697402
374,LPGAT1,-1.061,0.000237841624150006
377,SKIL,-1.216,0.000240806359485323
378,PISD,-1.338,0.00024200699648018102
379,IL1RN,-2.037,0.000243601110435531
380,AOC2,-2.539,0.000245493894546158
381,PLIN4,-2.459,0.000246932108165494
