,Gene_symbol,Log_FoldChange,PValue
781,SRGAP2-AS1,4.601,0.0013114122739806301
783,HLA-DMB,2.495,0.00132892673763949
789,SNORD86,2.825,0.00135161113514006
790,PKHD1L1,1.406,0.00135165292298891
791,KIR2DL4,5.567,0.00136109578056256
801,PTPRVP,1.213,0.00140864306285512
804,LOC100505915,1.111,0.00143784004436288
808,UTS2,2.295,0.00145128439518494
816,ARL16,1.0590000000000002,0.0014821669314585
818,TMEM163,1.4240000000000002,0.0014991076962746401
836,CDIP1,1.011,0.0015600404362850003
852,TEKT4,2.068,0.00164661074365587
867,LOC653786,1.765,0.00171845269901736
874,LOC101928812,1.854,0.0017610457791896602
875,TEKT4P2,1.7519999999999998,0.00177028121067371
877,CELSR1,1.256,0.00178798614778415
879,ANK2,2.9539999999999997,0.00180205946195725
894,LOC105373805,1.3259999999999998,0.0018529875395071301
905,TTC16,1.252,0.0018945236226669399
911,C12orf71,1.633,0.00191377752566662
919,LOC100506603,1.1159999999999999,0.0019507772701560801
936,LDOC1,1.01,0.00208133336005691
937,NPIPA1,1.213,0.00208003132281107
944,LOC105373984,1.913,0.00211858592857405
971,TCEAL2,1.517,0.00232911256775932
978,ACTG1P17,1.22,0.0023662084304472398
988,TLE6,1.4469999999999998,0.00245628340432969
991,LOC400541,2.27,0.0024879756982943303
996,HLA-DRB4,4.824,0.00253248015792695
998,NPIPB11,1.0759999999999998,0.00255087778047875
1006,CRYGS,1.089,0.0026008622302027898
1008,LOC442028,1.536,0.0026164268646461
1011,LAMC3,1.3459999999999999,0.0026337699783763897
1017,C6orf136,1.2830000000000001,0.00270198505550048
1019,MAMLD1,1.173,0.00268204124487024
1021,B3GNT7,1.186,0.00270491961162886
1034,HLA-DPB2,5.166,0.00278806713828648
1035,APOBEC3H,1.1909999999999998,0.0027963352407202303
1036,IGFBP3,1.324,0.00279327667024808
1053,TRIM49D2,1.889,0.0029023849047791397
1055,GAS2L1P2,2.0709999999999997,0.00291139320171764
1060,PRF1,1.023,0.0029390009904686
1061,LINC00487,1.84,0.00294615816826476
1067,THNSL2,1.9980000000000002,0.0030018692388971897
1078,CELF4,1.653,0.00307017268922375
1084,LINC00494,1.367,0.00311785946146411
1109,HLA-DOA,1.4040000000000001,0.0032882090804635103
1111,HLA-DOB,1.435,0.00331169848585892
1118,MRAP,3.7260000000000004,0.0033734114662063103
1123,NTN5,1.272,0.00342168875989032
1142,SMAD9,1.354,0.0035794428342543795
1145,ZNF474,1.994,0.00362010324888289
1154,FAM86B2,2.377,0.0037553934302144705
1156,NPR2,1.0070000000000001,0.0037681125026314
1168,MUC20,1.9409999999999998,0.0038597778257147
1173,DNAAF1,1.4409999999999998,0.00391548877588311
1177,FAM95B1,1.328,0.00394994332895288
1182,LAIR2,3.19,0.0040064036597990205
1198,LOC100506178,1.5719999999999998,0.00416137790477336
1208,IL17D,1.5130000000000001,0.00421242934033878
1213,SCGB3A1,2.254,0.00423517493803946
1222,KDM4E,2.142,0.00437789121818937
1227,SNORD36A,2.375,0.00441016652241056
1234,OR6C2,3.529,0.00448687485771435
1235,FAM65A,5.949,0.004482752389071871
1245,TMEM198,1.212,0.0045952789834932395
1251,KANSL1,3.122,0.00470371402692142
1258,ZNF300,1.0390000000000001,0.0047744210523186295
1259,TNNI3K,1.954,0.00480441705918653
1268,RASGRF1,1.8769999999999998,0.004872058129964879
1275,PPP1R14A,1.6269999999999998,0.00493516532064071
1282,IL13,1.736,0.00504574499775424
1292,LRRC39,1.071,0.00517601047486224
1296,RTP5,1.725,0.00521037208061661
1305,CYP2C8,1.463,0.00524719505612985
