,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
117,LST1,-2.022,0.00202864363993708,
118,MEDAG,-1.057,0.00205145734261486,
119,RTP3,-1.676,0.0022396509571870004,
120,IL1RN,-1.933,0.0022017483710559897,
122,SNORA31,-1.0070000000000001,0.00249843268605807,
126,IER3,-1.074,0.00273012993987182,
131,ASTL,-1.984,0.0026639423842960397,
138,SERPINA3,-1.9580000000000002,0.00232945280669279,
143,SOCS3,-1.692,0.00268478256511958,
148,SOCS7,-1.423,0.0023526115448512,
150,RN7SK,-1.03,0.00240028554395495,
169,WDR38,-1.3090000000000002,0.0030781055700037398,
177,ITGB3,-1.1440000000000001,0.00351224783512617,
193,LAIR1,-1.083,0.004363841081638071,
212,HCG9,-2.215,0.00500692136176875,
228,RNA5S9,-1.263,0.0056906101679173,
229,TMEM189-UBE2V1,-1.5219999999999998,0.00567343855925153,
231,CHI3L1,-1.088,0.00593138344626142,
238,OR52E4,-1.406,0.006652463206360671,
239,ACTBL2,-1.262,0.00659097158064988,
254,CXCL1,-2.0180000000000002,0.0068429284299540705,
278,ADRA2B,-1.2990000000000002,0.00800696109304506,
279,LOC554223,-1.187,0.00814672310697776,
281,ESM1,-1.4780000000000002,0.0082056521550943,
302,LINC01668,-1.062,0.00915166254450488,
312,NUTM2F,-1.55,0.00962876676888822,
313,LOC100507600,-1.051,0.00958530749180744,
328,SFN,-1.1179999999999999,0.0098955757808249,
350,TMEM210,-1.0190000000000001,0.0108902565647261,
359,OR2A7,-1.162,0.0111197423169316,
374,HLA-DPB1,-1.963,0.0120200759338538,
375,TPSG1,-1.294,0.0120871673319058,
422,SNORD14E,-1.012,0.0136248781535054,
427,MUC5AC,-1.4269999999999998,0.0138022454583087,
471,LINC01440,-1.264,0.0183578819436104,
473,MIR4665,-1.181,0.0177087385146971,
474,CDH16,-1.9509999999999998,0.0158231279007663,
477,MIR1973,-1.037,0.0181407384048682,
479,LINC01686,-1.429,0.0171597002126335,
506,WDR46,-1.452,0.0167789185624909,
555,MIR618,-1.011,0.0187773064472263,
592,TP53TG3,-1.515,0.0200854506738993,
607,MIR6724-2,-1.7690000000000001,0.020931870374413002,
608,MIR6724-3,-1.7690000000000001,0.0209323959670668,
609,MIR6724-1,-1.7690000000000001,0.0209304408746822,
610,MIR6724-4,-1.7690000000000001,0.0209292521907254,
611,IER3IP1,-1.55,0.020787575494647,
614,VPS52,-1.2670000000000001,0.0207604328332484,
618,C2orf78,-1.085,0.0211559577925544,
629,NMRK2,-1.137,0.0214675547687754,
640,KRT78,-1.3130000000000002,0.0223676853158793,
656,LOC100129291,-1.197,0.0228954446387999,
681,LOC400541,-1.143,0.0250027398742701,
683,LINC00994,-1.112,0.0252497700213553,
776,OR1N1,-1.09,0.0303196254236014,
779,FCER2,-1.064,0.0302781008213551,
780,CTRB2,-1.3780000000000001,0.0312912074740831,
782,HCG17,-1.3619999999999999,0.0296675030576608,
783,TCTEX1D4,-1.078,0.0300897268191993,
785,SPATS1,-1.17,0.0326761022540262,
797,RPP21,-1.264,0.0290566557261723,
906,LOC102724701,-1.254,0.0342140850146166,
931,UCN2,-1.28,0.0364916666323591,
932,MIR4801,-1.024,0.0361620526250063,
1007,TRIM27,-1.263,0.0379317774432344,
1048,NLRP5,-1.232,0.0395712887709192,
1059,LOC390877,-1.192,0.0411177795510041,
1063,FGFBP2,-1.3019999999999998,0.0410624054853111,
1064,PCAT19,-1.587,0.041034166303661,
1077,GSTM1,-1.464,0.0413639302812629,
1115,MFRP,-1.123,0.0430158703998491,
1196,FNDC11,-1.274,0.0464304423104126,
1199,DNAJB5-AS1,-1.064,0.0465607378034524,
1206,AADACL2,-1.473,0.0469787866148657,
1214,NXN,-1.003,0.0488869052121756,
1216,LINC00972,-1.026,0.0477590844688783,
1220,GPANK1,-1.156,0.0487685338012669,
1235,RNF5,-2.275,0.0481274978290831,
1,ALS2CR4,-1.06179041,1.02e-05,1.0
2,DCAF5,-1.05227516,1.89e-05,2.0
7,TRIM13,-1.70611925,4.98e-05,7.0
16,GJA1,-2.34440526,0.0001236,18.0
17, TOP1P1,-1.4942174,0.0001283,20.0
25,EDEM3,-1.25466871,0.0002248,28.0
26,MED12L,-1.66177108,0.0002256,29.0
27,SLC7A11,-1.11719475,0.0002278,30.0
29,PRKAR2A,-1.26375022,0.0002714,32.0
35,RAPH1,-1.12363833,0.0003474,38.0
44,RBKS,-1.12535424,0.0004808,47.0
49,KIAA1432,-1.50887394,0.0005673999999999999,53.0
50,CEP76,-1.03380188,0.0005697,54.0
60,LPAR1,-1.24920487,0.0006899,64.0
63,ZNF252,-1.3446074,0.0007227000000000001,67.0
65,ZNF776,-1.86209912,0.0007311,69.0
68,GOLGA3,-1.45961025,0.0007405000000000001,72.0
74,SURF1,-1.65644637,0.0007693,78.0
75,CSRP1,-1.67895302,0.0007837,79.0
82,RAB8A,-1.05423546,0.0008352,86.0
92,KLHL3,-1.44741816,0.0008937999999999998,96.0
93,MAP3K7,-1.17387746,0.0009067,97.0
98,PPM1A,-1.06662423,0.0009581,102.0
102,RSL1D1,-1.27786071,0.0010176,106.0
113,ACAD9,-1.33044148,0.0011220999999999998,118.0
114,ATRN,-1.4151023,0.001126,119.0
116,RAD18,-1.24478068,0.0011529,121.0
124,GNAI2,-1.05189839,0.0012554,129.0
129,C6orf72,-1.0428232,0.001348,134.0
131,VWA5A,-1.45190196,0.0013543,136.0
134,FSTL4,-1.09008168,0.0013862,139.0
138,CDH11,-1.70421083,0.0014523,143.0
142,DKK3,-1.60733071,0.001498,147.0
146,ATM,-1.51483194,0.0015585999999999998,151.0
151,METTL2B,-1.05803752,0.0016300000000000002,157.0
152,EPHA6,-1.2978628,0.0016368,158.0
154,TSPAN6,-1.43837513,0.0016629,160.0
155,DDX3Y,-1.8111064,0.0016652999999999998,161.0
159,COG3,-1.10774917,0.0016887,165.0
160,TET3,-1.04016083,0.0017097000000000002,166.0
177, ZNF117,-1.44175088,0.0019713,183.0
190,CRADD,-1.307542,0.0021602,197.0
200,LAP3,-1.07413213,0.002258,208.0
226,QKI,-1.07721838,0.0026313,239.0
231,ZNF121,-1.13200278,0.0026802,244.0
257,UEVLD,-1.51849941,0.003086,271.0
269,NIP7,-1.25221971,0.0031916,283.0
270,CTNNA1,-1.13512879,0.0031916,284.0
274,USP25,-1.30665881,0.003229,288.0
277,DPM3,-1.21876892,0.0033162,291.0
286, GPR89C,-1.78353997,0.0034123000000000005,301.0
288,H3F3B,-1.16368057,0.0034386,303.0
296,ZNF667,-1.52031689,0.0035462,311.0
299,PCDH17,-1.27651767,0.0036133,314.0
303,ETV5,-1.23869498,0.003645900000000001,318.0
329,MOBKL2B,-1.17536372,0.0041386,353.0
337,KRR1,-1.14047721,0.0042575,362.0
339,ZFAND5,-1.25220791,0.0042752,364.0
341,LRRC34,-1.00286348,0.0043022,366.0
346,CIAPIN1,-1.41164549,0.0043666,371.0
366,TPX2,-1.30141148,0.0046256,391.0
371,GALNT2,-1.24388613,0.0046647,396.0
372,PDZD2,-1.32554868,0.004679699999999999,397.0
379,APITD1,-1.05478218,0.004806,405.0
382,MLLT4,-1.0400492,0.0048473,409.0
