,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
81,SP110,2.081,0.0011360452286511599,
91,LRP2,1.115,0.0013387410837638301,
116,LINC00609,1.05,0.0019642427197941697,
124,LOC105378049,1.208,0.00221732346605456,
125,LINC01193,1.087,0.00217140983488169,
133,PTGDR,1.089,0.00238878548308794,
168,PLA2G2A,1.207,0.00315015116947758,
211,TDRD15,1.754,0.00512527621251106,
243,LINC00706,1.146,0.00650296753377345,
273,EGFL8,1.368,0.007777264405799521,
314,SLCO1B1,1.23,0.00958751706968634,
321,FAM170B-AS1,1.324,0.010591289333984002,
322,MIR4512,1.074,0.00992997182621712,
327,PRR3,1.22,0.0101224044477896,
330,C10orf105,1.091,0.0106063818886173,
361,DOC2B,1.199,0.0114200971313781,
442,HCG22,1.694,0.0152338724956515,
472,MIR3186,1.219,0.0171283201417579,
476,SNORA6,1.084,0.0166262539326449,
718,C6orf10,1.176,0.0259942821206184,
744,MIR566,1.147,0.0273813029793305,
788,CTAGE15,1.403,0.0324812087903421,
854,C4B_2,1.37,0.0311183144237351,
936,ZNF311,1.062,0.0366644982657909,
1120,HCG20,1.135,0.0432865876617949,
1136,FER1L6-AS1,1.0190000000000001,0.04377855313378501,
1217,LINC01984,1.072,0.0487973561591371,
4,NLRP2,2.28104542,2.25e-05,4.0
9,RCHY1,1.0859999,7.69e-05,10.0
61,PSPH,1.44653779,0.0006927000000000001,65.0
67,MEF2D,1.15538304,0.000734,71.0
122,SP2,1.41778048,0.0012311,127.0
175,PTPDC1,1.4439394,0.0019188,181.0
179,N4BP1,1.00984651,0.0019988,185.0
238,PITPNA,1.24167905,0.0027499000000000004,252.0
327, SULT1A4,1.57905775,0.0041339,351.0
342,SRCIN1,1.32907806,0.0043216,367.0
355,FAM189A1,1.01683708,0.0044853,380.0
365,TSFM,1.36640748,0.0046229,390.0
414,ACOX1,1.02759851,0.0053179,448.0
470,FOXP4,1.06319892,0.006116399999999999,507.0
508,PSMF1,1.337481,0.0066083,551.0
569,HDHD3,1.0665046,0.0074976,617.0
618,DEPDC5,1.17399704,0.0082199,674.0
627,MBD2,1.08937387,0.008345700000000001,683.0
642,NFKBIB,1.07761371,0.0085596,698.0
881,TRA2A,1.18187892,0.0119332,967.0
891,TMEM2,1.30699377,0.0120384,980.0
990,PRDM10,1.0421372,0.013500899999999998,1096.0
996,AP4E1,1.36319254,0.0135939,1103.0
1013,L2HGDH,1.08542211,0.0138784,1123.0
1130,XIST,2.48060375,0.0154864,1264.0
1169,MDH1B,1.4638524,0.0161475,1317.0
1240,BRIX1,1.01000257,0.0171824,1399.0
1281,ANXA4,1.18824846,0.0177528,1446.0
1461,KCNH2,1.10052644,0.0206086,1658.0
1482,LGI4,1.03023987,0.0208462,1681.0
1549,MOSC2,1.14345302,0.0217713,1756.0
1615,ZNF431,1.13280169,0.0225484,1834.0
1636,PCDHB2,1.79461783,0.0228842,1858.0
1637,FAM120B,1.30325429,0.0229277,1859.0
1722,GMPPB,1.08738157,0.023927,1949.0
1741,DEFB109P1B,1.2130107,0.0242242,1971.0
1931,CCNG2,1.17839184,0.0275858,2203.0
1981,TNRC6B,1.01876079,0.0283411,2263.0
2041,PCDHB17,1.05306016,0.0292004,2330.0
2050,F11R,1.2041476999999998,0.029343200000000007,2340.0
2088,GRAMD3,1.05384167,0.030061,2392.0
2092, PLGLB2,1.27042849,0.030171100000000006,2397.0
2103,ZNF43,1.1379791,0.0303751,2412.0
2112,OXNAD1,1.05215668,0.030581,2424.0
2139,EGR1,1.10823947,0.031004400000000005,2454.0
2176, SMG1,1.32073797,0.0316567,2500.0
2265,RPL37,1.06773615,0.033090800000000004,2606.0
2294,GNG13,1.35320796,0.0336202,2637.0
2385,PRTFDC1,1.45302517,0.034889599999999986,2737.0
2502,PADI2,1.11892031,0.0367859,2886.0
2525,NCOA7,1.08803029,0.0371856,2914.0
2531,ATG4B,1.13105734,0.0372517,2921.0
2619,PHGDH,1.07576432,0.0388965,3034.0
2685,PTBP1,1.22073728,0.0398476,3117.0
2763,SPTLC2,1.05151402,0.0413383,3217.0
2769,VPS39,1.07617877,0.041521,3226.0
2801,ZWILCH,1.08099286,0.041906,3263.0
2814, ANKRD36B,1.1236098,0.0422097,3277.0
