,Gene_symbol,Log_FoldChange,PValue
846,KCNG1,-1.913,0.00400681941005699
847,MIF,-2.3409999999999997,0.0040389620610329895
860,SLC22A17,-1.912,0.00414721822122121
863,PTOV1,-1.6569999999999998,0.00418387990381383
864,CAMK2N2,-2.34,0.00420128460854803
866,TMEM160,-2.918,0.00421606039359529
867,MMP2,-2.13,0.00421481729155141
872,ND3,-3.109,0.00425977038869283
878,ATP6V0D1,-1.3119999999999998,0.00431789797011314
883,LGALS3,-1.5090000000000001,0.00436514883602252
884,STUB1,-1.575,0.00437172295848783
888,CXCR5,-5.563,0.0044214485003233606
889,CPSF1,-1.43,0.0044245012247709796
899,G6PC3,-1.847,0.00455874658330936
904,CELSR3,-1.358,0.00463675156624266
906,ARHGDIA,-1.83,0.00468686256953985
907,APC2,-1.315,0.00468289330790653
908,FNDC10,-2.249,0.004697311202107221
920,LOC440910,-2.43,0.00476813148960297
921,CNTFR,-1.855,0.00477086071047152
924,CRTC1,-2.155,0.00481963767859214
945,LMO1,-2.302,0.00495208990890699
946,FBXL16,-2.244,0.00493333662969633
947,JUNB,-2.858,0.00495869577628048
948,PSD,-1.57,0.00487861936459645
949,JPH4,-1.5530000000000002,0.00494202272361302
950,PCSK1N,-2.862,0.00492326862616355
952,ZMIZ1,-1.715,0.0049703088204788295
953,SH3BGRL3,-1.954,0.00498945761862023
967,CSTB,-1.9980000000000002,0.00512139693459271
973,PTGDS,-2.5340000000000003,0.005180369243443029
975,MINOS1,-1.8319999999999999,0.00521371841894111
976,EPN1,-2.319,0.00521771779693677
980,PALM,-1.893,0.00527011634342174
981,XAB2,-1.666,0.00533454977434975
982,OLFM2,-1.69,0.0053469773509796795
983,PLTP,-1.66,0.00534938392005929
988,PRKACA,-2.294,0.0053955776943624
992,APLP1,-1.5030000000000001,0.00543987304457746
993,PCGF5,-1.3,0.00546501908599381
994,ZSCAN1,-2.2359999999999998,0.00547172089014247
1000,FAM127B,-2.8760000000000003,0.00555271866472848
1015,KCNK4-TEX40,-3.178,0.00559766510903652
1017,PRR7,-2.7769999999999997,0.00558404285125573
1026,ATP5B,-1.4980000000000002,0.00575104739885634
1028,HNRNPA3,-1.829,0.00576874771175551
1031,AEBP1,-1.8980000000000001,0.0057983787634308896
1032,VEGFB,-1.825,0.0058147779874958795
1037,PMM1,-1.5919999999999999,0.00585507923609068
1040,CEND1,-2.097,0.0058919323692936
1056,COX2,-3.38,0.00602188073744278
1060,DPP7,-1.7109999999999999,0.00608902441446724
1061,BAIAP3,-1.9240000000000002,0.00608912806084485
1062,ATP6,-4.198,0.00608011525021289
1070,NLGN2,-2.217,0.0061704708230248895
1071,GRN,-1.7,0.0061956137027088295
1080,HAPLN4,-4.916,0.0063378462679979895
1081,FLOT1,-2.6710000000000003,0.00634705612804845
1082,PRKCSH,-1.591,0.006327213061910621
1083,RBP4,-3.4360000000000004,0.006369123214801579
1089,CYB5R3,-1.814,0.0064322234492272
1091,MRPL12,-1.95,0.00645695893588192
1092,ACOT7,-1.651,0.006451122561799021
1103,MEG9,-2.975,0.006604915319835571
1104,PHLDA1,-1.196,0.00662665310701683
1106,TGFB1,-2.309,0.00664403316074509
1110,LMTK3,-2.249,0.0067784079425590605
1114,FUS,-1.831,0.00680340599724931
1115,ZNF580,-2.186,0.00682560811352577
1134,BANF1,-1.943,0.007052478212226741
1135,NT5DC2,-1.3969999999999998,0.0070460762490982
1146,FAAP20,-1.925,0.0071575832310459995
1147,DEAF1,-1.399,0.00714256501584422
1158,TMEM179,-1.8619999999999999,0.00718442909467234
1159,C20orf27,-1.55,0.0072189162819885295
1160,IDH3G,-1.416,0.00722582933325279
1162,GSTT1,-1.744,0.00734809622151578
1163,MANBAL,-1.6030000000000002,0.0073501118634826295
1164,CTSD,-1.848,0.007345614654953809
1165,IGFBP2,-1.534,0.0073352781696101
1169,PLXNA3,-1.351,0.007395494146266591
1170,HK2,-1.7209999999999999,0.00738037074838415
1171,RPLP2,-1.403,0.00737866036972855
1174,RAB1B,-1.344,0.0074102221041469
1175,B4GALNT4,-1.419,0.007435071757558391
1176,PPP1R14B,-1.557,0.00742671364722066
1188,HSPB1,-1.9909999999999999,0.00754144664998401
1189,PTPRN,-2.353,0.0075480466051890205
1190,CRIP2,-1.8630000000000002,0.00752682179752783
1191,MLF2,-1.5319999999999998,0.0075222913427053706
1192,PABPC1,-1.892,0.007558993774805259
1199,ATP5E,-1.742,0.0076990098270979706
1202,PSMC5,-1.376,0.007729972553172009
1203,PTMS,-1.7280000000000002,0.007740484449232009
1204,PNMA1,-1.4809999999999999,0.00776760058977633
1209,NDN,-1.177,0.0078042929878647
1210,WBP2,-1.685,0.007832905669452491
1213,TNFRSF11B,-2.168,0.00786729865779528
1215,NDFIP1,-1.585,0.007892240642532791
1217,ABHD17A,-2.046,0.00793203926712944
