,Gene_symbol,Log_FoldChange,PValue
8,LILRB4,3.426,4.266629585984521e-09
11,CHIT1,5.362,9.90699808950254e-09
12,LRRC37A,6.47,2.4365949557141604e-08
14,MSR1,2.011,2.83427897275751e-08
15,CRYAB,2.299,9.87003810524252e-08
17,TM4SF19,5.971,2.2192203360251003e-07
18,SRPX2,2.137,2.8712203330080105e-07
20,NPR3,2.386,4.0588594472157e-07
21,LOC101929726,2.614,5.37456069934628e-07
22,MRPL45,5.55,7.173146551935121e-07
23,DMTN,1.547,7.802079651027291e-07
24,STC2,2.258,1.09751231583597e-06
25,HOXC8,5.087,1.29051256072331e-06
26,CTSS,1.879,1.31669906654614e-06
27,APBB1IP,1.564,1.68153651763999e-06
28,ADA2,1.864,2.29913760980735e-06
30,SNCG,2.037,3.08720005594349e-06
31,GPI,4.416,3.26908194676771e-06
33,TRIM26,5.901,4.34742564219018e-06
37,HLA-DRA,4.0360000000000005,5.46783572546277e-06
39,HSPA1A,6.0089999999999995,6.3455684521895204e-06
45,HOXC6,2.398,1.5523512720011498e-05
46,CES1P1,4.221,1.5523885596134698e-05
47,ANGPTL4,1.6280000000000001,1.58145974229484e-05
48,CD209,1.5419999999999998,1.82215450324672e-05
49,FCGR2B,1.334,1.82412147700235e-05
50,MSC,2.951,2.1224606383961898e-05
52,AQP4,7.041,2.61982973360385e-05
56,IRF8,1.472,3.16975428756345e-05
57,FPR3,1.46,3.23168539628906e-05
58,ITGB2,1.891,4.47676283189724e-05
60,CD68,1.4069999999999998,5.45964096230211e-05
61,CCDC3,1.6230000000000002,5.72600016097787e-05
62,CTSB,1.415,5.65991180087626e-05
63,LOXL2,1.4509999999999998,6.76577570229906e-05
64,NQO1,1.8219999999999998,7.123299912502092e-05
67,FCGBP,3.138,9.52859677531838e-05
70,CCND1,2.384,9.2011745190263e-05
71,LGMN,1.272,9.327841281192e-05
72,ITIH5,1.706,8.7322226607988e-05
74,TBX18,1.528,0.000104585719810848
75,C1QC,1.4280000000000002,0.000105309558145476
76,MMP7,4.6419999999999995,0.00011489293101746299
78,EXO1,3.858,0.00013102321240435801
79,SLC37A2,1.3030000000000002,0.00013455311675658502
80,CHI3L1,2.5069999999999997,0.00013380714280656201
81,PLAC9,1.4080000000000001,0.00013434276913294299
84,WISP2,1.347,0.000180576950201958
87,HLA-DRB3,6.584,0.000188401968177908
88,MMP9,3.8110000000000004,0.000203024229400667
89,ACP5,1.8259999999999998,0.000200947068727272
91,CD14,1.3219999999999998,0.000190329170480052
92,ITGB5,1.3119999999999998,0.00019378265489096699
94,KYNU,1.444,0.00021488852355611298
96,CCL18,3.845,0.00023582536098410898
98,HOXC9,3.054,0.000233571471846848
99,MPEG1,1.188,0.00023389836941477998
100,SYNPO,1.541,0.000239536147252157
102,AKR1C3,1.6869999999999998,0.000245327813556945
103,HSPA1B,4.493,0.000250760949542108
106,DMRT3,6.778,0.000306140526065525
107,PLIN4,1.839,0.000312915735118194
108,MS4A6E,3.582,0.00032339908523443397
109,IL1RN,3.375,0.00032713723855650096
110,TUBB2A,1.7730000000000001,0.00034667618393062
113,F13A1,1.2229999999999999,0.00037213618306941403
115,RHOXF1,2.351,0.000389485824615687
117,ALDOB,2.104,0.000403356967623689
120,LOC653786,3.102,0.000414156509358357
122,CSMD1,2.029,0.00044406945164465
123,HLA-DPB1,6.337000000000001,0.00043331070031659504
126,KLHL30,2.365,0.000427190711072294
129,C1QA,1.2429999999999999,0.000436909007417416
132,A4GNT,3.878,0.000488169448073089
133,RASA3,1.197,0.000481278162076388
135,FFAR3,2.655,0.000501643057320158
136,FOLR2,1.136,0.000501882417736159
137,SYNC,1.3030000000000002,0.0005257897587161679
138,LINC00645,5.794,0.0005338143071109719
139,IFI30,1.8090000000000002,0.000536526429184592
144,KRTAP13-4,4.285,0.000604894020149182
146,NRP2,1.165,0.000604225720516466
147,SYK,1.1640000000000001,0.000621980330168458
148,CD74,1.1440000000000001,0.000623845772439285
150,HLA-DRB4,5.599,0.0006732574573557781
151,SERINC2,1.9469999999999998,0.000669580691709821
152,HLA-C,4.626,0.000689592516747091
156,SLC35C1,1.072,0.0007206576142345179
157,LAMB3,1.9240000000000002,0.000728691676821245
160,SLAMF9,5.446000000000001,0.0007966959373649809
161,ARL11,1.929,0.000795731502990965
163,PKD2L1,2.7439999999999998,0.00080635643871282
164,IGSF6,1.4240000000000002,0.0008239240046367059
166,APOC2,4.985,0.0008625894122395231
167,DNASE2B,3.7319999999999998,0.0008840518815461051
168,LINC01494,5.239,0.000909027832278307
169,HLA-DQA1,1.395,0.000920247465428199
170,EN1,2.734,0.000931168167660234
171,ADAM12,1.47,0.0009400677615924141
172,C1orf198,1.089,0.000952124088600184
173,HOXC5,2.377,0.000964120738154309
175,KCNJ5,1.624,0.000979484467000557
176,LINC00334,5.33,0.000994581346276864
177,IGSF1,2.062,0.0009961709743326061
178,PPP1R11,5.434,0.00100344656711219
180,AOC1,2.6830000000000003,0.00101735029163125
182,MGAT3,1.319,0.00106274325154713
183,TLCD2,1.2009999999999998,0.0010660664038302
185,CD248,1.41,0.0011049676753698099
186,MRC1,1.145,0.00111344587022036
187,TNIP1,1.2229999999999999,0.00111323577335742
188,FOPNL,2.076,0.0011605990131319
190,PLEK,1.131,0.00117018456350435
191,GNG2,1.248,0.0012170154006111
193,ADRA2A,1.21,0.0012366978169222802
195,RNF17,4.078,0.00128832473051047
196,HOXC-AS1,3.2260000000000004,0.0012914129815851199
199,LCP1,1.248,0.0012958619648731
202,ITGAM,1.1840000000000002,0.0013799302035014801
203,SEMA3G,1.614,0.00139533348945454
204,C1QB,1.264,0.00144235989369989
207,LINC02227,2.645,0.00153456281188795
209,CCL19,2.7089999999999996,0.00152028067175926
210,MRAP,1.827,0.00153351274987211
212,WDPCP,1.053,0.00159833216031146
213,TREM2,2.905,0.00161980484177081
214,ABHD11-AS1,4.497,0.00163969371927082
217,CLEC10A,1.0390000000000001,0.00173806083766595
220,SPI1,1.128,0.00177456519113235
225,TYROBP,1.27,0.0019001739751065
229,POPDC3,2.9960000000000004,0.00194673628568646
230,IL25,4.212,0.0019731968716630802
231,LOC105376527,3.0180000000000002,0.00202228397744799
233,MSTO1,1.051,0.00203626150119466
237,DDX39B,2.131,0.00213950213267457
242,LY86,1.719,0.00222371047202602
243,ST14,1.516,0.00221324500732735
244,EPDR1,1.235,0.00223009452725405
245,ALDH4A1,1.399,0.00225890280759559
246,LAPTM5,1.157,0.00231457166221082
248,PALMD,1.148,0.00234231877737409
252,ATP6V0D2,3.6910000000000003,0.00251248189150293
253,TEX26,2.28,0.00251968482896986
257,PTAFR,1.042,0.0025281330660587
259,LGALS9,1.131,0.00246616876163658
260,ALAS1,1.169,0.00247580618210163
267,ZBED3,1.077,0.0026549922131006397
268,LAIR1,2.281,0.00267823954175249
269,LYZ,1.483,0.00269291729252529
271,HAVCR2,1.288,0.00276056760046776
272,SSTR5-AS1,3.698,0.00280386957080889
274,C5orf30,1.11,0.00278530223558365
275,CTSZ,1.083,0.0027956935744856398
276,UCHL1,1.395,0.00282110961138467
277,FCGR3A,1.42,0.00285656857760351
278,IGSF21,1.869,0.00288441529252736
280,HCK,1.113,0.0029164763794298
281,PIK3C2B,1.0190000000000001,0.0029385076614896802
282,ADM,1.234,0.00294327931071767
284,SNTG2,2.9219999999999997,0.00296725218047629
287,CYP26B1,1.2009999999999998,0.00305872794225129
288,TPI1P2,2.573,0.00307707561338725
294,SNX10,1.123,0.0031882114234178
295,GPX1,1.2,0.00325772599378867
297,NMT2,1.003,0.00329150070062975
299,HSD11B1,1.068,0.0033331899470839103
300,PRKCD,1.327,0.00338834816610402
303,TRIM16L,1.28,0.00349814010412551
305,LY6G5B,2.873,0.00354066028375219
308,SHTN1,4.808,0.00361007520013459
312,EPB41L1,1.0290000000000001,0.00359757368275281
313,UPK1A,2.384,0.00375953434509844
316,GAS2L2,2.545,0.0037320481385078705
317,HS3ST2,2.2569999999999997,0.00381848687590815
321,OSGIN1,1.6159999999999999,0.0038134115139535204
324,TMEM54,1.19,0.0037305306473954898
325,INHBB,1.186,0.00378523436172259
327,FTL,1.101,0.0038171653741164795
328,HOXD8,1.422,0.00387692477359606
330,CR1,1.679,0.0039277853773466
336,UMODL1,3.659,0.00410578372787553
338,SELE,2.8139999999999996,0.00414482308943849
339,COTL1,1.07,0.0041565783682306606
341,SAMD4A,1.189,0.00421071577089514
344,CSF2RB,1.072,0.00425315045707663
345,CTSD,1.112,0.00425444002655665
346,LINC01402,2.2880000000000003,0.00429362294035153
347,VSIG4,1.2890000000000001,0.00428993285864373
348,ZNF98,2.005,0.0043076406865347
349,KANK4,1.276,0.00432892220988716
351,SYTL4,1.06,0.0044057757529599
353,IMPDH1,1.013,0.00448046102095762
354,ZNF503-AS1,3.0410000000000004,0.00454959698441696
356,VLDLR-AS1,1.413,0.00451174698230561
359,EXD1,3.074,0.00459402600994224
362,PDE6G,2.189,0.00460895108551155
364,PEMT,1.5830000000000002,0.00475027818948307
366,ZNF541,1.886,0.00482962178814412
368,CLEC4G,1.7380000000000002,0.00493320973598981
369,RBFOX3,3.0589999999999997,0.0049116105735173
370,RETSAT,1.136,0.00493337105591686
373,MS4A7,1.141,0.00503888388579857
374,RAPSN,3.032,0.0051018463914325
376,DHRS9,2.0469999999999997,0.00510719059718048
378,IL4I1,2.138,0.00522882451658649
379,GRHL1,1.601,0.00521987378428286
381,NPL,1.065,0.00527533642482432
383,PPP1R27,3.93,0.00538445464380561
384,CCL8,1.92,0.00541737514965689
387,HCAR2,1.11,0.0055309477042818
390,DUSP10,1.608,0.00560293363492511
392,AMPD3,1.1079999999999999,0.00559762834819687
393,CCDC85A,1.056,0.005630789332185361
395,NBPF6,3.51,0.00571061542310576
401,SPATA9,1.3869999999999998,0.0058440981359696295
402,FCER1G,1.146,0.00586913255228577
404,TBX15,1.665,0.00594290508808251
406,TMEM139,1.784,0.00601257133687459
408,CD300LB,2.266,0.00605606261214716
411,CYTH4,1.109,0.006188034222684271
413,NANOS1,1.1420000000000001,0.0062661464478328
416,SKIV2L,1.722,0.006345677981576379
417,C3AR1,1.0959999999999999,0.00633218416650976
420,GOLGA7B,2.186,0.00646968963718481
421,ABCF1,1.719,0.00648478424020254
423,MPZ,1.626,0.00644967722256617
432,PISD,1.0859999999999999,0.00663194632052311
435,TRPM2,1.2,0.00677411617278231
436,TSKU,1.062,0.00677831932338776
441,SIM2,1.875,0.007079148460508141
442,CHRNA1,2.898,0.007103198812099729
448,DOK3,1.13,0.00734719950077665
451,SULT1A1,1.176,0.007369312053127409
453,FADS3,1.255,0.00750644880461526
454,KCNK13,2.6060000000000003,0.007529079160668109
456,LIPA,1.21,0.00761750686228258
458,FGF8,2.673,0.00769706758669879
462,ADAP2,1.038,0.00785850980190904
464,APLNR,1.3119999999999998,0.00778150956124578
466,ACSF2,1.028,0.00787222482479278
468,PNMAL2,1.41,0.00799142253528994
471,LINC01060,4.618,0.008394493348798871
475,NETO2,1.496,0.00842559264108026
480,DHDDS,1.011,0.008626194322379821
481,IRX3,1.893,0.00868892359806998
484,RENBP,1.124,0.0088170439493753
486,LOC101928896,2.051,0.0089495928931584
489,CD84,1.0190000000000001,0.00898728897282989
490,CYBB,1.129,0.00898504251706852
492,KCNA6,3.012,0.00913413599614623
494,LFNG,1.45,0.009233584079468959
495,RDH5,1.18,0.00924723748910338
508,HLA-L,4.8,0.00980093511580645
511,CSNK2B,2.1790000000000003,0.0100200671824182
514,DTX1,1.056,0.0101943084231355
515,ITPK1,1.0090000000000001,0.0101972187171683
518,NCF1B,1.361,0.0102836350063422
519,NRROS,1.29,0.0103352850810639
520,HOXA10,2.1,0.0102779888156268
522,C1orf127,2.245,0.0103777173694933
525,CD163,1.091,0.0104462407227102
527,ALX1,3.9419999999999997,0.0105970490004711
528,POU2F2,1.405,0.010610752921024
531,RAB42,1.4040000000000001,0.0107153615047847
534,LINC01287,1.675,0.0107744815964159
550,GNA15,1.2229999999999999,0.011268858120961999
551,APOC1,1.601,0.0112320097227929
553,FSTL3,1.18,0.0112368016022157
556,HHEX,1.405,0.0113154718274184
557,LILRA2,1.735,0.0114511664911725
558,PLPPR4,1.589,0.0114799364415711
560,MARK1,1.103,0.0114907816841941
562,CD300A,1.197,0.0115450618544336
566,MEOX1,1.361,0.011660692592363001
567,LINC02172,1.95,0.0117358726730227
568,HCST,1.339,0.0117536910438087
572,SIRPB2,1.4680000000000002,0.011818660376839
577,LOC102724450,2.31,0.0120714322117291
578,MSH5,1.5330000000000001,0.0121156698078682
580,PITX2,3.266,0.0121200686471847
582,XKR3,4.54,0.0122030933079689
585,AFF2,1.85,0.0123374157553038
587,DPEP1,2.318,0.0123796689190665
591,PSAT1,1.49,0.0124626293285581
594,NEUROG3,4.44,0.0125495538913381
595,ADGRE4P,1.675,0.0126049590270557
599,C4orf19,1.192,0.0127820618430262
600,PMEPA1,1.3,0.0127976143473269
601,DCSTAMP,2.7030000000000003,0.0128702708587526
603,RHOXF1-AS1,1.2890000000000001,0.0129087618807839
606,GRAMD1B,1.161,0.0130159412720537
609,TIMD4,2.116,0.0131850655513676
612,HRCT1,1.276,0.0132321539581059
616,TSPAN33,1.075,0.0134608630220453
618,TFAP2A,1.6,0.0135106394214909
620,KANK1,1.0090000000000001,0.0137030501103615
